,agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,model,game
146,3000.0,2000.0,3000.0,2000.0,0.61,1.25,0.0,-0.39,0.0,0.0326666682958602,0.0,0.0293333325535058,750.0,750.0,alternative,SH
147,3000.0,1000.0,3000.0,1000.0,0.5,2.08,0.0,-0.5,1.0,0.9506666660308838,1.0,0.9626666903495787,750.0,750.0,alternative,SH
148,3000.0,3000.0,3000.0,3000.0,0.06,2.19,0.0,-0.94,0.0,0.0783333331346511,0.0,0.0943333357572555,750.0,750.0,alternative,SH
149,3000.0,4000.0,3000.0,3000.0,0.28,1.0,0.0,-0.98,0.0,0.0264999996870756,0.0,0.0252500008791685,1000.0,750.0,alternative,SH
150,3000.0,4000.0,3000.0,4000.0,0.9,3.88,0.0,-0.1,0.0,0.025000000372529,0.0,0.0219999998807907,1000.0,1000.0,alternative,SH
151,3000.0,2000.0,3000.0,2000.0,0.24,3.1,0.0,-0.7600000000000002,0.0,0.0266666673123836,0.0,0.0303333327174186,750.0,750.0,alternative,SH
152,7000.0,9000.0,3000.0,9000.0,0.15,3.76,0.0,-0.8500000000000001,0.0,0.014555555768311,0.0,0.0107777779921889,2250.0,2250.0,alternative,SH
153,3000.0,13000.0,10000.0,13000.0,0.49,3.58,0.0,-0.5099999999999998,0.0,0.0125384619459509,0.0,0.018538461998105,3250.0,3250.0,alternative,SH
154,3000.0,4000.0,3000.0,4000.0,0.98,2.39,0.0,-0.0199999999999995,0.0,0.0234999991953372,0.0,0.0462500005960464,1000.0,1000.0,alternative,SH
155,4000.0,1000.0,3000.0,1000.0,0.25,3.69,0.0,-0.75,1.0,0.977500021457672,1.0,0.9729999899864196,1000.0,750.0,alternative,SH
