,agent1_strategy_converge,agent1_reward_converge,agent1_network_converge,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,loss,agent1_playing_times,model,opponent,h,epsilon_decay,game
178,,,,2.01,1.0,0.0,-0.57,0,0.5396000146865845,0.5455313806067699,10000,DQN,TitForTat,5,0.995,PD
179,,,,1.64,1.0,0.0,-0.71,1,0.621399998664856,0.30416279149059267,10000,DQN,TitForTat,5,0.995,PD
180,,7000.0,,1.92,1.0,0.0,-0.63,1,0.645799994468689,0.24665495997561143,10000,DQN,TitForTat,7,0.95,PD
181,7000.0,7000.0,7000.0,1.01,1.0,0.0,-0.06,0,0.08871428668498993,0.09660779268163949,7000,DQN,TitForTat,7,0.95,PD
182,,,,1.24,1.0,0.0,-0.28,1,0.6378999948501587,0.1892260526705295,10000,DQN,TitForTat,7,0.95,PD
183,7000.0,2000.0,9000.0,1.39,1.0,0.0,-0.41,0,0.07577777653932571,0.07035311656957965,9000,DQN,TitForTat,7,0.95,PD
184,,7000.0,,1.74,1.0,0.0,-0.85,1,0.7032999992370605,0.49439986526979224,10000,DQN,TitForTat,7,0.95,PD
185,10000.0,9000.0,,2.4,1.0,0.0,-0.85,0,0.14239999651908875,0.1877492112380042,10000,DQN,TitForTat,7,0.95,PD
186,,9000.0,,1.23,1.0,0.0,-0.94,0,0.11630000174045563,0.18282703785570473,10000,DQN,TitForTat,7,0.95,PD
187,8000.0,7000.0,,1.49,1.0,0.0,-0.14,0,0.07880000025033951,0.09482793496754105,10000,DQN,TitForTat,7,0.95,PD
188,,,,1.75,1.0,0.0,-0.4,0,0.08860000222921371,0.11430010581729626,10000,DQN,TitForTat,7,0.95,PD
189,,10000.0,,1.01,1.0,0.0,-0.3,0,0.06970000267028809,0.0612365355186098,10000,DQN,TitForTat,7,0.95,PD
190,7000.0,7000.0,,2.12,1.0,0.0,-0.98,0,0.08590000122785568,0.10977682912203829,10000,DQN,TitForTat,7,0.95,PD
191,7000.0,7000.0,7000.0,1.02,1.0,0.0,-0.04,0,0.09242857247591019,0.11052655225511979,7000,DQN,TitForTat,7,0.95,PD
192,,9000.0,,1.01,1.0,0.0,-0.18,1,0.6003999710083008,0.13921107086292042,10000,DQN,TitForTat,7,0.95,PD
